age,income,loan_amount,loan_term,credit_score,employment_years,num_credit_lines,debt_to_income,num_delinquencies,previous_defaults,loan_to_income,monthly_payment,payment_to_income,education,home_ownership,loan_purpose,employment_status,default
45,25389.0,42203.0,48,453,9.0,13,0.3629,8,0,1.6622,1010.6,0.4774,Bachelor,Mortgage,Personal,Full-time,0
26,113496.0,35392.0,48,399,25.0,9,0.0545,7,2,0.3118,847.51,0.0896,Bachelor,Mortgage,Business,Full-time,1
61,159413.0,40873.0,12,601,7.0,7,0.2559,8,1,0.2564,3536.61,0.2662,PhD,Own,Medical,Full-time,0
42,133828.0,20739.0,36,475,20.0,9,0.5045,7,2,0.155,640.36,0.0574,Master,Mortgage,Debt Consolidation,Full-time,1
45,177899.0,10938.0,12,549,28.0,16,0.3047,8,1,0.0615,946.43,0.0638,Bachelor,Mortgage,Home Improvement,Unemployed,0
38,100581.0,12512.0,48,698,0.0,3,0.3246,4,0,0.1244,299.62,0.0357,Bachelor,Mortgage,Education,Full-time,0
29,141281.0,30993.0,48,343,27.0,4,0.3919,2,1,0.2194,742.17,0.063,High School,Mortgage,Debt Consolidation,Unemployed,0
66,92656.0,27057.0,36,580,6.0,6,0.2888,9,0,0.292,835.44,0.1082,Bachelor,Own,Education,Self-employed,0
59,176342.0,4780.0,24,311,,10,0.5269,0,1,0.0271,214.01,0.0146,PhD,Rent,Home Improvement,Part-time,0
52,37097.0,11013.0,12,324,7.0,16,0.2718,4,3,0.2969,952.92,0.3081,Bachelor,Rent,Home Improvement,Unemployed,1
40,62012.0,48410.0,48,350,4.0,5,0.5684,7,3,0.7806,1159.24,0.2243,Bachelor,Rent,Business,Full-time,1
61,32899.0,36585.0,48,388,21.0,15,0.5323,7,0,1.112,876.07,0.3194,Master,Rent,Debt Consolidation,Self-employed,0
47,144888.0,37993.0,36,492,14.0,18,0.2816,6,2,0.2622,1173.11,0.0972,High School,Rent,Business,Part-time,0
42,58055.0,10651.0,48,814,15.0,9,0.2512,4,0,0.1835,255.05,0.0527,PhD,Rent,Personal,Full-time,0
42,73670.0,4146.0,48,798,,19,0.4221,9,0,0.0563,99.28,0.0162,Bachelor,Own,Debt Consolidation,Part-time,0
31,169778.0,15271.0,36,356,22.0,17,0.4654,2,2,0.0899,471.52,0.0333,High School,Rent,Debt Consolidation,Unemployed,1
24,81633.0,42987.0,12,845,28.0,16,0.1522,1,1,0.5266,3719.53,0.5467,Bachelor,Rent,Debt Consolidation,Unemployed,0
47,41978.0,25820.0,60,649,15.0,8,0.1826,6,2,0.6151,511.27,0.1461,High School,Rent,Business,Full-time,0
64,18879.0,39446.0,36,604,,6,0.1304,3,0,2.0893,1217.98,0.7737,Bachelor,Rent,Medical,Full-time,0
23,56939.0,24848.0,48,735,9.0,17,0.4684,4,0,0.4364,595.02,0.1254,Bachelor,Mortgage,Personal,Full-time,0
62,184216.0,25019.0,60,566,14.0,9,0.4429,4,2,0.1358,495.41,0.0323,High School,Mortgage,Home Improvement,Self-employed,0
61,116493.0,30441.0,24,445,3.0,1,0.154,2,0,0.2613,1362.92,0.1404,Bachelor,Mortgage,Debt Consolidation,Full-time,0
33,199044.0,47987.0,48,591,6.0,14,0.3453,9,0,0.2411,1149.11,0.0693,Bachelor,Mortgage,Debt Consolidation,Part-time,0
51,54799.0,22434.0,12,698,6.0,7,0.4703,3,3,0.4094,1941.14,0.425,High School,Mortgage,Home Improvement,Full-time,0
28,80023.0,30192.0,60,675,29.0,18,0.5709,6,2,0.3773,597.84,0.0896,Master,Mortgage,Business,Unemployed,0
57,45193.0,46054.0,12,393,12.0,17,0.1482,1,3,1.019,3984.9,1.0578,High School,Rent,Personal,Self-employed,1
55,88700.0,19243.0,36,815,26.0,2,0.2174,9,2,0.2169,594.17,0.0804,Bachelor,Rent,Debt Consolidation,Full-time,0
37,119213.0,42156.0,24,456,16.0,18,0.2416,9,1,0.3536,1887.43,0.19,Bachelor,Mortgage,Education,Full-time,0
23,164503.0,27217.0,12,750,15.0,19,0.3937,0,2,0.1654,2355.0,0.1718,High School,Mortgage,Home Improvement,Self-employed,0
68,83097.0,44076.0,36,471,28.0,15,0.125,6,3,0.5304,1360.94,0.1965,PhD,Mortgage,Personal,Full-time,1
42,157733.0,23922.0,60,334,20.0,6,0.1564,5,2,0.1517,473.68,0.036,Bachelor,Rent,Personal,Full-time,1
64,130839.0,31846.0,12,848,7.0,13,0.4792,1,1,0.2434,2755.53,0.2527,High School,Mortgage,Personal,Unemployed,0
53,68985.0,16840.0,24,623,8.0,17,0.3481,7,3,0.2441,753.97,0.1311,Bachelor,Own,Home Improvement,Part-time,0
58,183757.0,32115.0,12,418,19.0,16,0.1382,7,2,0.1748,2778.81,0.1815,Bachelor,Mortgage,Home Improvement,Unemployed,0
57,95335.0,16986.0,12,300,0.0,9,0.2636,8,3,0.1782,1469.74,0.185,High School,Own,Debt Consolidation,Full-time,1
29,42933.0,30850.0,24,371,4.0,14,0.124,6,2,0.7185,1381.23,0.386,Bachelor,Rent,Debt Consolidation,Part-time,1
38,,39649.0,36,393,2.0,8,0.2495,7,1,0.2053,1224.25,0.0761,Bachelor,Own,Business,Unemployed,0
43,183985.0,22309.0,48,809,,5,0.2701,7,3,0.1213,534.22,0.0348,Bachelor,Rent,Personal,Part-time,0
44,24165.0,22032.0,48,397,13.0,13,0.1117,7,2,0.9117,527.58,0.2619,Bachelor,Rent,Business,Unemployed,1
22,181960.0,16783.0,48,389,0.0,9,0.0829,5,3,0.0922,401.89,0.0265,Bachelor,Mortgage,Home Improvement,Self-employed,1
47,190264.0,36792.0,48,760,22.0,5,0.5349,7,3,0.1934,881.03,0.0556,High School,Own,Debt Consolidation,Full-time,0
27,168381.0,30008.0,24,783,19.0,13,0.5382,0,1,0.1782,1343.54,0.0957,High School,Rent,Medical,Full-time,0
57,62174.0,26305.0,60,414,21.0,7,0.0514,6,0,0.4231,520.87,0.1005,Bachelor,Own,Debt Consolidation,Part-time,0
54,131787.0,2251.0,12,657,,12,0.4027,2,0,0.0171,194.77,0.0177,Bachelor,Mortgage,Debt Consolidation,Self-employed,0
66,114574.0,6394.0,48,593,26.0,7,0.1015,4,2,0.0558,153.11,0.016,High School,Rent,Debt Consolidation,Self-employed,0
57,129727.0,1365.0,12,617,5.0,17,0.4956,7,3,0.0105,118.11,0.0109,High School,Rent,Personal,Full-time,1
38,129042.0,42662.0,48,471,17.0,17,0.5338,1,3,0.3306,1021.59,0.095,Bachelor,Mortgage,Home Improvement,Part-time,1
68,133254.0,42730.0,12,713,16.0,10,0.3891,7,0,0.3207,3697.29,0.3329,Bachelor,Rent,Personal,Part-time,0
40,110090.0,4328.0,24,784,6.0,14,0.3872,2,0,0.0393,193.78,0.0211,Bachelor,Mortgage,Home Improvement,Full-time,0
36,142741.0,3274.0,24,699,11.0,4,0.2543,7,2,0.0229,146.59,0.0123,Bachelor,Rent,Medical,Full-time,0
65,112422.0,39290.0,48,796,1.0,19,0.1872,7,1,0.3495,940.85,0.1004,Bachelor,Mortgage,Education,Unemployed,0
38,18049.0,26714.0,12,360,14.0,5,0.3246,0,1,1.48,2311.48,1.5358,High School,Mortgage,Personal,Full-time,0
23,21527.0,16137.0,24,661,20.0,17,0.1235,2,0,0.7496,722.5,0.4025,Bachelor,Rent,Debt Consolidation,Full-time,0
43,192247.0,31134.0,24,849,9.0,17,0.4197,8,0,0.1619,1393.95,0.087,High School,Mortgage,Debt Consolidation,Full-time,0
59,183211.0,12586.0,48,594,16.0,4,0.3085,3,2,0.0687,301.39,0.0197,Master,Own,Debt Consolidation,Full-time,0
29,123336.0,10710.0,60,818,28.0,1,0.1477,4,2,0.0868,212.07,0.0206,High School,Own,Home Improvement,Part-time,0
43,47299.0,19006.0,48,491,7.0,15,0.3736,0,3,0.4018,455.12,0.1154,Bachelor,Mortgage,Debt Consolidation,Unemployed,0
26,159571.0,44890.0,36,793,8.0,17,0.4874,6,1,0.2813,1386.07,0.1042,Bachelor,Mortgage,Medical,Part-time,0
54,41508.0,38590.0,24,816,3.0,14,0.3738,0,2,0.9297,1727.77,0.4994,Bachelor,Rent,Home Improvement,Self-employed,0
43,84797.0,10314.0,60,642,16.0,2,0.3413,2,3,0.1216,204.23,0.0289,Master,Mortgage,Personal,Part-time,0
36,76024.0,28524.0,12,687,6.0,13,0.5162,4,1,0.3752,2468.09,0.3895,Bachelor,Rent,Education,Full-time,0
31,17293.0,44341.0,12,587,25.0,8,0.0559,7,0,2.564,3836.68,2.6605,High School,Rent,Medical,Full-time,0
48,164296.0,47629.0,24,474,8.0,18,0.3892,4,3,0.2899,2132.47,0.1557,Bachelor,Rent,Medical,Full-time,1
53,109300.0,38386.0,24,594,19.0,16,0.2753,9,0,0.3512,1718.64,0.1887,Bachelor,Mortgage,Debt Consolidation,Full-time,0
67,73506.0,7314.0,36,829,5.0,16,0.1565,5,1,0.0995,225.84,0.0369,PhD,Mortgage,Debt Consolidation,Full-time,0
41,108830.0,12796.0,60,308,9.0,8,0.5888,2,0,0.1176,253.38,0.0279,Bachelor,Own,Home Improvement,Part-time,0
28,15000.0,11711.0,48,412,5.0,7,0.2721,1,2,0.7807,280.43,0.2242,Bachelor,Mortgage,Personal,Full-time,1
61,95843.0,8386.0,24,574,16.0,16,0.2344,7,1,0.0875,375.46,0.047,High School,Mortgage,Debt Consolidation,Full-time,0
51,111122.0,9590.0,24,486,0.0,3,0.143,4,1,0.0863,429.37,0.0464,PhD,Rent,Home Improvement,Full-time,0
55,77847.0,16495.0,48,643,2.0,2,0.5988,6,2,0.2119,394.99,0.0609,Bachelor,Rent,Education,Unemployed,0
24,168620.0,28220.0,24,498,15.0,2,0.5208,3,1,0.1674,1263.48,0.0899,High School,Own,Home Improvement,Full-time,0
35,61217.0,20499.0,60,662,16.0,10,0.0885,2,1,0.3349,405.9,0.0796,Bachelor,Rent,Personal,Self-employed,0
58,40497.0,21619.0,36,358,9.0,2,0.3612,5,1,0.5338,667.53,0.1977,Bachelor,Rent,Personal,Full-time,1
61,112595.0,13043.0,36,482,12.0,12,0.1311,2,0,0.1158,402.73,0.0429,High School,Rent,Debt Consolidation,Full-time,0
41,179146.0,8400.0,60,681,12.0,4,0.4437,9,3,0.0469,166.33,0.0111,Bachelor,Own,Business,Full-time,1
60,84426.0,49945.0,24,559,22.0,17,0.3162,7,3,0.5916,2236.17,0.3178,Bachelor,Own,Debt Consolidation,Full-time,1
62,23625.0,30350.0,36,692,13.0,9,0.1107,8,2,1.2846,937.12,0.4758,High School,Mortgage,Home Improvement,Full-time,0
39,194437.0,12252.0,36,649,25.0,2,0.3564,2,0,0.063,378.31,0.0233,PhD,Mortgage,Personal,Full-time,0
64,97195.0,40689.0,24,480,6.0,14,0.5509,0,1,0.4186,1821.75,0.2249,PhD,Mortgage,Debt Consolidation,Part-time,0
34,46991.0,41701.0,12,535,5.0,7,0.2377,0,1,0.8874,3608.25,0.9212,High School,Mortgage,Personal,Full-time,0
31,128888.0,48372.0,24,830,12.0,5,0.0779,8,0,0.3753,2165.74,0.2016,Bachelor,Own,Personal,Full-time,0
54,74138.0,8796.0,12,829,2.0,13,0.5699,8,3,0.1186,761.09,0.1232,Master,Own,Medical,Full-time,0
51,188491.0,32358.0,48,319,20.0,19,0.128,6,1,0.1717,774.85,0.0493,Bachelor,Rent,Home Improvement,Self-employed,0
26,69382.0,49031.0,12,687,11.0,19,0.3113,5,2,0.7067,4242.49,0.7336,PhD,Mortgage,Debt Consolidation,Full-time,0
61,116775.0,40526.0,24,570,10.0,9,0.3496,2,2,0.347,1814.45,0.1864,High School,Own,Home Improvement,Full-time,0
29,115512.0,12050.0,60,300,16.0,17,0.1804,7,1,0.1043,238.6,0.0248,Bachelor,Rent,Debt Consolidation,Part-time,1
60,59851.0,44758.0,36,648,2.0,4,0.1476,5,1,0.7478,1382.0,0.277,Bachelor,Mortgage,Debt Consolidation,Full-time,0
20,107366.0,21662.0,48,312,11.0,17,0.1122,6,3,0.2018,518.72,0.058,Bachelor,Own,Debt Consolidation,Full-time,1
59,35178.0,24957.0,48,475,29.0,18,0.0885,0,3,0.7094,597.63,0.2038,Bachelor,Mortgage,Medical,Full-time,0
59,134091.0,28369.0,24,679,18.0,10,0.3295,5,2,0.2116,1270.15,0.1137,High School,Rent,Debt Consolidation,Unemployed,0
59,155288.0,38798.0,48,746,17.0,10,0.5131,6,2,0.2498,929.07,0.0718,High School,Rent,Home Improvement,Self-employed,0
53,190750.0,6894.0,24,526,15.0,11,0.1197,7,0,0.0361,308.66,0.0194,High School,Mortgage,Medical,Full-time,0
43,75269.0,27423.0,48,744,14.0,2,0.4353,1,0,0.3643,656.68,0.1047,High School,Own,Debt Consolidation,Full-time,0
55,67765.0,41024.0,48,761,28.0,17,0.2769,0,0,0.6054,982.37,0.1739,High School,Rent,Home Improvement,Full-time,0
33,116529.0,27876.0,60,546,27.0,15,0.0694,8,3,0.2392,551.98,0.0568,Bachelor,Mortgage,Debt Consolidation,Full-time,1
59,143162.0,14459.0,60,395,12.0,17,0.3448,3,3,0.101,286.31,0.024,High School,Mortgage,Debt Consolidation,Unemployed,1
47,198605.0,3757.0,12,662,27.0,3,0.1886,4,0,0.0189,325.08,0.0196,High School,Rent,Debt Consolidation,Full-time,0
42,19632.0,27914.0,24,307,2.0,16,0.3829,6,1,1.4218,1249.78,0.7635,High School,Rent,Debt Consolidation,Full-time,1
45,59086.0,35464.0,36,791,,7,0.2421,4,1,0.6002,1095.03,0.2223,Master,Rent,Home Improvement,Full-time,0
48,63541.0,27932.0,24,513,9.0,16,0.4165,9,3,0.4396,1250.59,0.2361,High School,Rent,Debt Consolidation,Self-employed,1
21,62245.0,48988.0,48,718,20.0,19,0.5552,8,1,0.787,1173.08,0.2261,Bachelor,Own,Home Improvement,Full-time,0
26,100788.0,30529.0,60,704,18.0,17,0.1845,3,0,0.3029,604.51,0.072,High School,Rent,Medical,Full-time,0
32,176488.0,25903.0,24,560,14.0,18,0.5669,1,2,0.1468,1159.74,0.0788,High School,Mortgage,Medical,Full-time,0
25,20734.0,3718.0,60,834,7.0,3,0.1624,9,0,0.1793,73.62,0.0426,Bachelor,Own,Home Improvement,Full-time,0
41,165930.0,28371.0,60,737,15.0,7,0.0889,7,2,0.171,561.78,0.0406,Bachelor,Own,Personal,Full-time,0
53,129268.0,9262.0,60,786,8.0,6,0.156,7,3,0.0716,183.4,0.017,Bachelor,Rent,Education,Unemployed,0
52,128811.0,36512.0,12,351,14.0,10,0.4982,4,0,0.2835,3159.26,0.2943,Bachelor,Own,Business,Part-time,0
43,140487.0,8898.0,24,566,10.0,19,0.4227,4,3,0.0633,398.39,0.034,Bachelor,Rent,Home Improvement,Part-time,0
62,36350.0,45428.0,12,823,26.0,14,0.584,1,2,1.2497,3930.74,1.2972,High School,Mortgage,Debt Consolidation,Full-time,0
48,153145.0,15800.0,12,747,22.0,11,0.4404,4,0,0.1032,1367.12,0.1071,Master,Rent,Home Improvement,Full-time,0
23,60904.0,22265.0,12,549,5.0,16,0.2769,5,0,0.3656,1926.52,0.3795,High School,Mortgage,Business,Self-employed,0
58,110566.0,8100.0,36,338,28.0,4,0.5408,1,0,0.0733,250.1,0.0271,Master,Mortgage,Personal,Full-time,0
48,140222.0,11324.0,12,455,19.0,13,0.577,6,3,0.0808,979.83,0.0838,Bachelor,Mortgage,Personal,Part-time,1
51,126729.0,46174.0,24,614,,10,0.4854,6,2,0.3643,2067.33,0.1957,High School,Mortgage,Debt Consolidation,Full-time,0
48,74778.0,14900.0,60,653,15.0,4,0.3562,8,1,0.1993,295.04,0.0473,Bachelor,Mortgage,Personal,Full-time,0
47,88272.0,26134.0,60,808,5.0,13,0.5042,0,2,0.2961,517.48,0.0703,Bachelor,Own,Education,Full-time,0
24,103154.0,49088.0,60,351,1.0,16,0.1485,2,1,0.4759,972.0,0.1131,Bachelor,Rent,Medical,Self-employed,0
47,22631.0,31555.0,12,518,12.0,16,0.5452,4,1,1.3943,2730.35,1.447,PhD,Mortgage,Personal,Unemployed,0
59,149317.0,3040.0,48,449,,17,0.5998,8,2,0.0204,72.8,0.0059,Bachelor,Rent,Home Improvement,Full-time,1
35,33491.0,18516.0,48,828,10.0,16,0.4158,2,0,0.5528,443.39,0.1588,PhD,Own,Home Improvement,Full-time,0
50,99837.0,19955.0,12,391,11.0,9,0.1577,9,3,0.1999,1726.64,0.2075,High School,Mortgage,Personal,Part-time,1
21,136174.0,14536.0,60,421,29.0,1,0.1294,9,3,0.1067,287.83,0.0254,High School,Own,Debt Consolidation,Self-employed,1
37,29872.0,12817.0,36,463,29.0,19,0.5777,0,3,0.429,395.75,0.1589,Bachelor,Rent,Medical,Full-time,0
41,199177.0,25655.0,60,358,13.0,9,0.5292,3,0,0.1288,508.0,0.0306,PhD,Mortgage,Education,Unemployed,0
69,84786.0,19475.0,12,653,1.0,13,0.4618,2,1,0.2297,1685.11,0.2385,Bachelor,Rent,Personal,Self-employed,0
30,17923.0,15421.0,48,588,20.0,1,0.572,4,1,0.8604,369.28,0.2471,Master,Mortgage,Debt Consolidation,Full-time,0
33,136847.0,21236.0,12,606,21.0,17,0.3269,9,2,0.1552,1837.48,0.1611,Bachelor,Mortgage,Medical,Full-time,0
40,,17838.0,60,798,27.0,17,0.5383,3,1,0.151,353.21,0.0359,Master,Rent,Debt Consolidation,Full-time,0
69,133461.0,12208.0,48,538,28.0,18,0.1396,6,1,0.0915,292.34,0.0263,Master,Rent,Personal,Self-employed,0
62,153936.0,23184.0,12,471,18.0,4,0.1505,1,0,0.1506,2006.04,0.1564,Bachelor,Mortgage,Home Improvement,Full-time,0
21,102992.0,47172.0,24,506,3.0,17,0.3318,5,2,0.458,2112.01,0.246,Bachelor,Rent,Business,Unemployed,1
31,167953.0,25780.0,24,740,7.0,12,0.2329,3,2,0.1535,1154.24,0.0825,Bachelor,Mortgage,Personal,Part-time,0
61,83477.0,30280.0,12,590,21.0,3,0.2879,9,2,0.3627,2620.03,0.3766,PhD,Own,Business,Part-time,0
22,115862.0,49231.0,12,393,18.0,11,0.489,7,1,0.4249,4259.8,0.4411,Bachelor,Own,Business,Full-time,0
62,44325.0,31066.0,60,679,13.0,10,0.0794,2,3,0.7009,615.14,0.1665,Bachelor,Mortgage,Home Improvement,Full-time,0
34,129684.0,11942.0,60,710,12.0,12,0.4465,6,2,0.0921,236.47,0.0219,Master,Own,Business,Unemployed,0
65,63395.0,20525.0,36,437,21.0,2,0.0985,3,0,0.3238,633.75,0.1199,Bachelor,Own,Medical,Full-time,0
34,143894.0,24910.0,60,606,12.0,11,0.5161,4,1,0.1731,493.25,0.0411,Bachelor,Mortgage,Education,Unemployed,0
41,163195.0,24264.0,48,610,4.0,13,0.161,4,2,0.1487,581.03,0.0427,Bachelor,Own,Debt Consolidation,Full-time,0
53,173908.0,8326.0,12,396,29.0,14,0.4542,8,0,0.0479,720.42,0.0497,Bachelor,Rent,Home Improvement,Part-time,0
26,186880.0,6185.0,48,305,10.0,15,0.3755,2,1,0.0331,148.11,0.0095,Bachelor,Mortgage,Home Improvement,Full-time,0
47,37623.0,18149.0,12,694,8.0,12,0.2621,0,3,0.4824,1570.37,0.5007,High School,Own,Debt Consolidation,Full-time,0
45,40528.0,45798.0,60,638,2.0,14,0.1971,1,1,1.13,906.86,0.2684,Master,Mortgage,Education,Full-time,0
59,186343.0,36148.0,24,692,14.0,2,0.0816,8,2,0.194,1618.44,0.1042,Bachelor,Own,Business,Unemployed,0
69,85453.0,42244.0,12,507,29.0,16,0.2444,2,2,0.4943,3655.24,0.5132,Master,Mortgage,Debt Consolidation,Full-time,0
53,19813.0,9548.0,24,583,4.0,7,0.1603,0,1,0.4819,427.49,0.2588,Bachelor,Rent,Business,Full-time,0
40,68093.0,21299.0,48,839,7.0,11,0.1248,4,3,0.3128,510.03,0.0899,PhD,Mortgage,Home Improvement,Part-time,0
40,169696.0,29486.0,60,424,5.0,11,0.4562,8,0,0.1738,583.86,0.0413,Bachelor,Own,Medical,Self-employed,0
40,80673.0,22281.0,36,659,2.0,19,0.1669,8,1,0.2762,687.97,0.1023,Bachelor,Mortgage,Debt Consolidation,Self-employed,0
60,29196.0,21418.0,12,372,18.0,7,0.1727,9,2,0.7336,1853.23,0.7614,PhD,Mortgage,Debt Consolidation,Full-time,1
36,148590.0,18629.0,60,336,8.0,8,0.2373,6,0,0.1254,368.88,0.0298,Bachelor,Mortgage,Debt Consolidation,Full-time,0
28,51006.0,3527.0,48,826,22.0,15,0.3045,8,3,0.0691,84.46,0.0199,PhD,Own,Home Improvement,Full-time,0
36,80268.0,43003.0,36,371,12.0,13,0.3325,7,0,0.5357,1327.81,0.1985,Bachelor,Rent,Medical,Unemployed,0
21,15720.0,46720.0,36,660,19.0,7,0.4155,0,2,2.9718,1442.58,1.1004,High School,Rent,Business,Unemployed,0
25,126369.0,4961.0,60,582,2.0,7,0.3737,4,2,0.0393,98.23,0.0093,Bachelor,Mortgage,Debt Consolidation,Part-time,0
24,97372.0,21266.0,24,745,9.0,16,0.3149,5,3,0.2184,952.13,0.1173,Master,Rent,Business,Full-time,0
58,175404.0,26373.0,12,600,12.0,16,0.2667,4,0,0.1504,2281.97,0.1561,Bachelor,Rent,Home Improvement,Unemployed,0
56,76856.0,39412.0,12,683,1.0,3,0.1962,8,0,0.5128,3410.19,0.5324,Bachelor,Own,Education,Full-time,0
54,52851.0,49350.0,48,791,12.0,8,0.4405,9,2,0.9337,1181.75,0.2683,High School,Rent,Debt Consolidation,Full-time,0
43,45708.0,21399.0,60,756,14.0,15,0.2246,5,3,0.4682,423.73,0.1112,Bachelor,Rent,Medical,Full-time,0
55,52029.0,37697.0,48,697,12.0,3,0.5173,0,3,0.7245,902.7,0.2082,Master,Own,Business,Part-time,0
28,98451.0,46930.0,48,389,15.0,4,0.3724,3,0,0.4767,1123.8,0.137,PhD,Rent,Business,Full-time,0
65,,41684.0,24,393,23.0,4,0.3987,1,1,1.3392,1866.3,0.7193,Bachelor,Rent,Home Improvement,Full-time,0
45,89438.0,15233.0,36,573,23.0,11,0.3298,4,1,0.1703,470.35,0.0631,High School,Rent,Debt Consolidation,Self-employed,0
66,173116.0,41057.0,12,662,0.0,9,0.5607,2,3,0.2372,3552.53,0.2462,High School,Own,Debt Consolidation,Part-time,0
27,157017.0,21199.0,24,666,19.0,7,0.2819,0,2,0.135,949.13,0.0725,High School,Mortgage,Education,Full-time,0
44,132893.0,1858.0,48,732,27.0,3,0.2848,1,1,0.014,44.49,0.004,Master,Rent,Business,Full-time,0
54,180229.0,38184.0,60,356,26.0,13,0.5412,4,0,0.2119,756.09,0.0503,Bachelor,Mortgage,Business,Part-time,0
44,159339.0,41934.0,60,395,9.0,16,0.3827,1,2,0.2632,830.34,0.0625,High School,Rent,Business,Full-time,0
42,135724.0,17839.0,60,382,23.0,5,0.297,0,1,0.1314,353.23,0.0312,Master,Mortgage,Debt Consolidation,Full-time,0
28,174667.0,23095.0,12,597,24.0,13,0.1942,2,0,0.1322,1998.34,0.1373,Master,Rent,Home Improvement,Unemployed,0
39,38015.0,18853.0,60,648,10.0,16,0.1848,6,0,0.4959,373.31,0.1178,Bachelor,Mortgage,Business,Part-time,0
31,166377.0,6734.0,24,363,26.0,11,0.4908,6,2,0.0405,301.5,0.0217,Master,Mortgage,Debt Consolidation,Full-time,1
35,69647.0,49746.0,48,777,18.0,11,0.2037,3,2,0.7142,1191.23,0.2052,Bachelor,Mortgage,Personal,Full-time,0
54,150616.0,2108.0,60,466,22.0,4,0.0532,6,1,0.014,41.74,0.0033,High School,Rent,Debt Consolidation,Part-time,0
51,183963.0,28225.0,60,663,22.0,19,0.0607,1,3,0.1534,558.89,0.0365,Master,Mortgage,Medical,Full-time,0
50,106764.0,1731.0,48,713,23.0,19,0.5881,7,2,0.0162,41.45,0.0047,High School,Rent,Home Improvement,Part-time,0
38,31415.0,34779.0,24,319,28.0,14,0.3579,0,2,1.107,1557.15,0.5946,PhD,Own,Personal,Part-time,1
67,83492.0,45141.0,36,775,25.0,18,0.319,1,0,0.5407,1393.82,0.2003,Bachelor,Mortgage,Education,Full-time,0
24,90268.0,32529.0,48,833,12.0,12,0.5548,9,1,0.3604,778.95,0.1035,Master,Mortgage,Home Improvement,Full-time,0
37,188295.0,30702.0,36,827,16.0,13,0.2434,4,3,0.1631,947.99,0.0604,High School,Mortgage,Home Improvement,Full-time,0
25,189363.0,41568.0,36,376,19.0,16,0.4872,5,1,0.2195,1283.5,0.0813,Bachelor,Mortgage,Personal,Self-employed,0
36,120166.0,48737.0,36,515,25.0,1,0.447,3,2,0.4056,1504.86,0.1503,Master,Mortgage,Business,Self-employed,0
68,,43229.0,36,427,11.0,5,0.3124,6,3,0.2265,1334.79,0.0839,Master,Rent,Debt Consolidation,Self-employed,1
38,95713.0,12339.0,12,547,9.0,4,0.476,7,2,0.1289,1067.65,0.1338,Master,Own,Education,Full-time,0
65,91072.0,28599.0,60,836,22.0,13,0.5812,7,2,0.314,566.29,0.0746,High School,Own,Home Improvement,Full-time,0
44,169753.0,41121.0,12,719,28.0,5,0.1603,2,0,0.2422,3558.07,0.2515,Bachelor,Own,Debt Consolidation,Part-time,0
54,138468.0,15433.0,60,724,27.0,8,0.0596,6,1,0.1115,305.59,0.0265,Bachelor,Mortgage,Education,Full-time,0
42,111639.0,34084.0,12,532,4.0,10,0.5018,7,0,0.3053,2949.18,0.317,Bachelor,Own,Personal,Unemployed,0
